frame,track_id,pred,conf,probs
122,1,assault,0.371,"[0.371, 0.284, 0.026, 0.319]"
123,1,assault,0.371,"[0.371, 0.284, 0.026, 0.319]"
124,1,assault,0.371,"[0.371, 0.285, 0.026, 0.318]"
125,1,assault,0.37,"[0.37, 0.286, 0.026, 0.317]"
126,1,assault,0.369,"[0.369, 0.288, 0.026, 0.317]"
127,1,assault,0.368,"[0.368, 0.289, 0.027, 0.316]"
128,1,assault,0.368,"[0.368, 0.291, 0.027, 0.315]"
129,1,assault,0.367,"[0.367, 0.292, 0.027, 0.314]"
130,1,assault,0.367,"[0.367, 0.293, 0.027, 0.313]"
131,1,assault,0.367,"[0.367, 0.293, 0.027, 0.313]"
132,1,assault,0.367,"[0.367, 0.292, 0.027, 0.313]"
133,1,assault,0.368,"[0.368, 0.292, 0.027, 0.312]"
134,1,assault,0.368,"[0.368, 0.293, 0.027, 0.311]"
135,1,assault,0.368,"[0.368, 0.294, 0.028, 0.31]"
136,1,assault,0.367,"[0.367, 0.296, 0.028, 0.309]"
137,1,assault,0.367,"[0.367, 0.297, 0.028, 0.308]"
138,1,assault,0.366,"[0.366, 0.299, 0.028, 0.307]"
139,1,assault,0.365,"[0.365, 0.302, 0.028, 0.305]"
140,1,assault,0.364,"[0.364, 0.304, 0.028, 0.304]"
141,1,assault,0.363,"[0.363, 0.307, 0.028, 0.302]"
142,1,assault,0.362,"[0.362, 0.31, 0.029, 0.3]"
143,1,assault,0.36,"[0.36, 0.312, 0.029, 0.299]"
144,1,assault,0.359,"[0.359, 0.315, 0.029, 0.297]"
145,1,assault,0.358,"[0.358, 0.318, 0.029, 0.295]"
146,1,assault,0.356,"[0.356, 0.32, 0.03, 0.294]"
147,1,assault,0.355,"[0.355, 0.322, 0.03, 0.293]"
148,1,assault,0.355,"[0.355, 0.323, 0.03, 0.292]"
149,1,assault,0.354,"[0.354, 0.325, 0.03, 0.291]"
150,1,assault,0.353,"[0.353, 0.326, 0.03, 0.29]"
151,1,assault,0.353,"[0.353, 0.328, 0.03, 0.289]"
152,1,assault,0.352,"[0.352, 0.329, 0.03, 0.289]"
153,1,assault,0.351,"[0.351, 0.333, 0.031, 0.285]"
154,1,assault,0.351,"[0.351, 0.335, 0.031, 0.283]"
155,1,normal,0.399,"[0.332, 0.246, 0.022, 0.399]"
156,1,normal,0.394,"[0.33, 0.254, 0.023, 0.394]"
157,1,normal,0.389,"[0.327, 0.261, 0.024, 0.389]"
158,1,normal,0.385,"[0.324, 0.267, 0.024, 0.385]"
159,1,normal,0.382,"[0.32, 0.273, 0.025, 0.382]"
160,1,assault,0.35,"[0.35, 0.307, 0.024, 0.318]"
161,1,불확실,0.349,"[0.349, 0.345, 0.026, 0.28]"
162,1,falldown,0.374,"[0.337, 0.374, 0.029, 0.26]"
163,1,falldown,0.395,"[0.324, 0.395, 0.032, 0.249]"
164,1,falldown,0.408,"[0.314, 0.408, 0.035, 0.242]"
165,1,falldown,0.416,"[0.308, 0.416, 0.038, 0.239]"
166,1,falldown,0.418,"[0.304, 0.418, 0.04, 0.238]"
167,1,falldown,0.416,"[0.304, 0.416, 0.041, 0.239]"
168,1,falldown,0.412,"[0.305, 0.412, 0.042, 0.242]"
169,1,falldown,0.405,"[0.307, 0.405, 0.042, 0.246]"
170,1,falldown,0.397,"[0.31, 0.397, 0.042, 0.251]"
171,1,falldown,0.389,"[0.313, 0.389, 0.042, 0.256]"
172,1,falldown,0.379,"[0.315, 0.379, 0.044, 0.262]"
173,1,falldown,0.367,"[0.318, 0.367, 0.046, 0.268]"
174,1,falldown,0.353,"[0.321, 0.353, 0.055, 0.271]"
175,1,불확실,0.346,"[0.327, 0.346, 0.053, 0.275]"
176,1,불확실,0.341,"[0.331, 0.341, 0.051, 0.278]"
177,1,불확실,0.336,"[0.336, 0.335, 0.049, 0.28]"
178,1,불확실,0.339,"[0.339, 0.331, 0.047, 0.283]"
179,1,falldown,0.355,"[0.345, 0.355, 0.034, 0.265]"
180,1,falldown,0.355,"[0.345, 0.355, 0.034, 0.266]"
181,1,falldown,0.354,"[0.346, 0.354, 0.034, 0.266]"
182,1,normal,0.395,"[0.333, 0.25, 0.023, 0.395]"
183,1,assault,0.402,"[0.402, 0.29, 0.074, 0.235]"
184,1,assault,0.39,"[0.39, 0.303, 0.084, 0.224]"
185,1,assault,0.377,"[0.377, 0.314, 0.095, 0.214]"
186,1,assault,0.364,"[0.364, 0.322, 0.108, 0.206]"
187,1,assault,0.351,"[0.351, 0.329, 0.122, 0.198]"
188,1,불확실,0.338,"[0.338, 0.333, 0.137, 0.192]"
189,1,불확실,0.334,"[0.326, 0.334, 0.154, 0.185]"
190,1,불확실,0.334,"[0.315, 0.334, 0.172, 0.18]"
191,1,불확실,0.331,"[0.305, 0.331, 0.19, 0.174]"
192,1,불확실,0.327,"[0.294, 0.327, 0.21, 0.169]"
193,1,불확실,0.32,"[0.285, 0.32, 0.232, 0.164]"
194,1,불확실,0.334,"[0.267, 0.334, 0.21, 0.188]"
195,1,불확실,0.344,"[0.254, 0.344, 0.209, 0.194]"
196,1,불확실,0.349,"[0.242, 0.349, 0.217, 0.193]"
197,1,불확실,0.349,"[0.23, 0.349, 0.23, 0.19]"
198,1,불확실,0.344,"[0.219, 0.344, 0.25, 0.186]"
199,1,불확실,0.33,"[0.207, 0.33, 0.282, 0.18]"
200,1,불확실,0.341,"[0.192, 0.3, 0.341, 0.166]"
201,1,intrusion,0.422,"[0.192, 0.266, 0.422, 0.12]"
202,1,intrusion,0.476,"[0.192, 0.237, 0.476, 0.095]"
203,1,intrusion,0.466,"[0.195, 0.247, 0.466, 0.092]"
204,1,intrusion,0.456,"[0.197, 0.256, 0.456, 0.091]"
205,1,intrusion,0.443,"[0.2, 0.265, 0.443, 0.092]"
206,1,intrusion,0.429,"[0.204, 0.273, 0.429, 0.094]"
207,1,intrusion,0.412,"[0.21, 0.281, 0.412, 0.097]"
208,1,intrusion,0.394,"[0.217, 0.288, 0.394, 0.101]"
209,1,intrusion,0.373,"[0.226, 0.294, 0.373, 0.107]"
210,1,불확실,0.349,"[0.238, 0.299, 0.349, 0.114]"
211,1,불확실,0.323,"[0.252, 0.302, 0.323, 0.123]"
212,1,불확실,0.304,"[0.269, 0.304, 0.292, 0.135]"
213,1,falldown,0.36,"[0.315, 0.36, 0.054, 0.271]"
214,1,falldown,0.353,"[0.32, 0.353, 0.052, 0.275]"
215,1,불확실,0.346,"[0.325, 0.346, 0.05, 0.28]"
216,1,불확실,0.339,"[0.329, 0.339, 0.048, 0.284]"
217,1,불확실,0.334,"[0.334, 0.332, 0.046, 0.287]"
